child_id,timepoint_norm,n_clips,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_n_fp,mean_n_fn
F6J0V8B6S4,36_month,1,0.09090909090909091,0.30151134457776363,0.0,1.0,0.9090909090909091,0.0
W7P7J6H1H6,14_month,2,0.22727272727272727,0.3437758254761643,0.0,1.0,0.6363636363636364,0.9090909090909091
N2H7T0A7U5,36_month,1,0.2727272727272727,0.4670993664969138,0.0,1.0,0.7272727272727273,0.0
S6T9X3C8Y2,14_month,2,0.2727272727272727,0.3437758254761643,0.0,1.0,1.4545454545454546,0.0
R2C7W8X7N9,14_month,2,0.2727272727272727,0.4100997661323622,0.0,1.0,1.4545454545454546,0.0
I8T4E2J3M6,14_month,8,0.42045454545454547,0.22550448493826622,0.25,0.75,4.0,0.6363636363636364
A6S0V1J3G6,14_month,1,0.45454545454545453,0.5222329678670935,0.0,1.0,0.5454545454545454,0.0
B9P5V1I5O5,14_month,2,0.45454545454545453,0.41560470729681676,0.0,1.0,1.0909090909090908,0.0
L5V8G4A3K7,14_month,1,0.45454545454545453,0.5222329678670935,0.0,1.0,0.5454545454545454,0.0
G3D3S2N7W8,14_month,2,0.45454545454545453,0.15075567228888181,0.0,0.5,0.7272727272727273,0.36363636363636365
C1G1X2G4C6,14_month,3,0.45454545454545453,0.22475800926167844,0.0,0.6667,1.6363636363636365,0.0
M4R4B8C7G8,36_month,1,0.45454545454545453,0.5222329678670935,0.0,1.0,0.5454545454545454,0.0
C1I8N8L4Q4,36_month,2,0.5,0.0,0.5,0.5,0.9090909090909091,0.09090909090909091
Y4W4H9A8X5,36_month,2,0.5,0.3872983346207417,0.0,1.0,1.0,0.0
B8I6G9P2G8,36_month,1,0.5454545454545454,0.5222329678670935,0.0,1.0,0.45454545454545453,0.0
A8P5O6Z7X6,14_month,1,0.5454545454545454,0.5222329678670935,0.0,1.0,0.45454545454545453,0.0
C5L2D6N1W6,14_month,2,0.5454545454545454,0.15075567228888181,0.5,1.0,0.8181818181818182,0.09090909090909091
M5O1K4W9O1,14_month,5,0.5636363636363636,0.2335496832484569,0.2,1.0,0.0,2.1818181818181817
Z1J6X4Y3Z4,14_month,3,0.5757545454545454,0.26210184037368517,0.3333,1.0,1.0,0.2727272727272727
A6Y4Y7X2G1,14_month,6,0.5757727272727272,0.2280884569236641,0.1667,1.0,2.0,0.5454545454545454
Q9W9P7Z3J7,14_month,6,0.5909090909090909,0.17262735272572222,0.3333,0.8333,1.2727272727272727,1.1818181818181819
S4C2W1M7Q0,36_month,4,0.5909090909090909,0.32157283919679985,0.25,1.0,0.45454545454545453,1.1818181818181819
E7Z4G3O5K2,14_month,4,0.5909090909090909,0.16854996561581054,0.25,0.75,1.0909090909090908,0.5454545454545454
T8P2Z1M9O9,14_month,4,0.5909090909090909,0.2800162332956625,0.25,1.0,1.5454545454545454,0.09090909090909091
G3A6S5R9F7,14_month,5,0.6,0.1549193338482967,0.4,0.8,1.3636363636363635,0.6363636363636364
H7C3T0K5E5,14_month,4,0.6136363636363636,0.2820380374088831,0.25,1.0,0.0,1.5454545454545454
B4Q3G8H2N3,14_month,8,0.625,0.2015564437074637,0.25,0.875,0.45454545454545453,2.5454545454545454
E7G3N4A1K5,36_month,2,0.6363636363636364,0.504524979109513,0.0,1.0,0.0,0.7272727272727273
Z3H6O7C3O9,36_month,1,0.6363636363636364,0.504524979109513,0.0,1.0,0.36363636363636365,0.0
D8G5K7I0D6,14_month,4,0.6363636363636364,0.17188791273808215,0.25,0.75,0.9090909090909091,0.5454545454545454
S9D2T7Y9B1,14_month,3,0.6363818181818182,0.27707600335713606,0.0,1.0,0.8181818181818182,0.2727272727272727
Z2E7T3I3H2,14_month,4,0.6590909090909091,0.1685499656158105,0.25,0.75,0.6363636363636364,0.7272727272727273
F8N7H3T0O1,14_month,6,0.6666727272727273,0.149067475264788,0.3333,0.8333,1.5454545454545454,0.45454545454545453
E2P5Q8S5A7,14_month,3,0.6666818181818182,0.2108290531126193,0.3333,1.0,0.5454545454545454,0.45454545454545453
E3O3H8O7H4,14_month,3,0.6666909090909091,0.14907865343197502,0.3333,1.0,0.8181818181818182,0.18181818181818182
M5H7X4O2M2,14_month,3,0.6969727272727273,0.2770814721012904,0.3333,1.0,0.8181818181818182,0.09090909090909091
