diarizer,multi_child,has_interaction,n,accuracy,fp_rate,fn_rate
BabAR,False,False,77,0.8831,0.1379,0.1042
BabAR,False,True,270,0.8148,0.2444,0.1733
BabAR,True,False,17,0.7059,0.3636,0.1667
BabAR,True,True,77,0.7792,0.381,0.1607
Pyannote,False,False,77,0.7143,0.2414,0.3125
Pyannote,False,True,270,0.8,0.7778,0.0844
Pyannote,True,False,17,0.5882,0.6364,0.0
Pyannote,True,True,77,0.7792,0.8095,0.0
USC-SAIL,False,False,77,0.7532,0.5172,0.0833
USC-SAIL,False,True,270,0.8333,0.8,0.04
USC-SAIL,True,False,17,0.4706,0.7273,0.1667
USC-SAIL,True,True,77,0.7532,0.8571,0.0179
VTC,False,False,77,0.8961,0.1379,0.0833
VTC,False,True,270,0.8407,0.4222,0.1067
VTC,True,False,17,0.5882,0.5455,0.1667
VTC,True,True,77,0.7532,0.8571,0.0179
VTC-KCHI,False,False,77,0.8831,0.1379,0.1042
VTC-KCHI,False,True,270,0.8148,0.2444,0.1733
VTC-KCHI,True,False,17,0.7059,0.3636,0.1667
VTC-KCHI,True,True,77,0.7792,0.381,0.1607
VBx,False,False,77,0.7403,0.4138,0.1667
VBx,False,True,270,0.7963,0.8889,0.0667
VBx,True,False,17,0.4706,0.8182,0.0
VBx,True,True,77,0.7532,0.8571,0.0179
TalkNet-ASD,False,False,77,0.4416,0.0345,0.875
TalkNet-ASD,False,True,270,0.3519,0.0889,0.76
TalkNet-ASD,True,False,17,0.6471,0.0,1.0
TalkNet-ASD,True,True,77,0.3636,0.0952,0.8393
EEND-EDA,False,False,77,0.6234,0.8276,0.1042
EEND-EDA,False,True,270,0.8,0.8889,0.0622
EEND-EDA,True,False,17,0.3529,1.0,0.0
EEND-EDA,True,True,77,0.7273,0.8095,0.0714
Sortformer,False,False,77,0.6753,0.5172,0.2083
Sortformer,False,True,270,0.7741,0.9333,0.0844
Sortformer,True,False,17,0.7059,0.4545,0.0
Sortformer,True,True,77,0.7403,0.7143,0.0893
WavLM-MIL,False,False,77,0.7532,0.4828,0.1042
WavLM-MIL,False,True,270,0.8481,0.8444,0.0133
WavLM-MIL,True,False,17,0.4706,0.8182,0.0
WavLM-MIL,True,True,77,0.7662,0.8095,0.0179
Whisper-MIL,False,False,77,0.8442,0.1034,0.1875
Whisper-MIL,False,True,270,0.837,0.4889,0.0978
Whisper-MIL,True,False,17,0.6471,0.5455,0.0
Whisper-MIL,True,True,77,0.7922,0.7143,0.0179
