ratio,age_band,auroc,auprc,f1,precision,recall,balanced_accuracy,threshold
0.0,14_month,0.8257582303637778,0.8966874932079061,0.8706624605678234,0.8961038961038961,0.8466257668711656,0.8106368270975546,0.14500000000000002
0.0,36_month,0.8274086378737542,0.9492638139956718,0.8722741433021807,0.9395973154362416,0.813953488372093,0.778405315614618,0.14500000000000002
0.5,14_month,0.8257582303637778,0.8966874932079061,0.8706624605678234,0.8961038961038961,0.8466257668711656,0.8106368270975546,0.14500000000000002
0.5,36_month,0.8274086378737542,0.9492638139956718,0.8722741433021807,0.9395973154362416,0.813953488372093,0.778405315614618,0.14500000000000002
1.0,14_month,0.8257582303637778,0.8966874932079061,0.8706624605678234,0.8961038961038961,0.8466257668711656,0.8106368270975546,0.14500000000000002
1.0,36_month,0.8274086378737542,0.9492638139956718,0.8722741433021807,0.9395973154362416,0.813953488372093,0.778405315614618,0.14500000000000002
2.0,14_month,0.8257582303637778,0.8966874932079061,0.8706624605678234,0.8961038961038961,0.8466257668711656,0.8106368270975546,0.14500000000000002
2.0,36_month,0.8274086378737542,0.9492638139956718,0.8722741433021807,0.9395973154362416,0.813953488372093,0.778405315614618,0.14500000000000002
5.0,14_month,0.8257582303637778,0.8966874932079061,0.8706624605678234,0.8961038961038961,0.8466257668711656,0.8106368270975546,0.14500000000000002
5.0,36_month,0.8274086378737542,0.9492638139956718,0.8722741433021807,0.9395973154362416,0.813953488372093,0.778405315614618,0.14500000000000002
10.0,14_month,0.8257582303637778,0.8966874932079061,0.8706624605678234,0.8961038961038961,0.8466257668711656,0.8106368270975546,0.14500000000000002
10.0,36_month,0.8274086378737542,0.9492638139956718,0.8722741433021807,0.9395973154362416,0.813953488372093,0.778405315614618,0.14500000000000002
