epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.3953540898140917,0.32083513448635737,0.7690288713910761,0.7795337918986789,0.95
2,0.2986007022676129,0.28496009776989617,0.7718832891246684,0.7900152855115187,0.95
3,0.27883379378824064,0.28397618755698206,0.7751322751322751,0.7875723332241511,0.9
4,0.26613688206082675,0.29847160369157794,0.7914032869785083,0.7835598864504858,0.95
5,0.24779391158277614,0.27127671773235,0.762550881953867,0.7846926520362485,0.95
6,0.23976760923030413,0.267037027378877,0.7777777777777778,0.7921989300141936,0.95
7,0.2375227662588134,0.256970682044824,0.7922077922077922,0.7940004367289005,0.95
8,0.23194870101240686,0.27714960952599843,0.7822685788787483,0.7865760454198056,0.9
9,0.22379972878370794,0.2593015533685684,0.7731543624161074,0.794846598973687,0.95
10,0.2189776500129155,0.2540960290531317,0.7792553191489362,0.8004763074571459,0.95
11,0.21761263333979597,0.25750237156947453,0.7927927927927928,0.7969688284747243,0.95
12,0.21956507519341362,0.2571811656653881,0.774365821094793,0.7935227644939404,0.95
13,0.2038045952351868,0.2649766729772091,0.8094645080946451,0.7999099246642646,0.9
14,0.21455104140385153,0.2690230382482211,0.7869281045751634,0.790970629981439,0.95
15,0.20830495241405395,0.268067708114783,0.8080808080808081,0.7933316955999563,0.85
16,0.20965648970098666,0.257800066669782,0.8179551122194514,0.7997802707719184,0.95
17,0.20007959846879927,0.2570523784557978,0.796875,0.7955426356589147,0.95
18,0.18859214121995843,0.268621152540048,0.8073170731707318,0.7920965716781309,0.95
19,0.2045034811959654,0.26097294196486476,0.7805519053876478,0.7934545256032318,0.95
20,0.19350726002363988,0.25799675385157267,0.8010139416983524,0.7939867889507588,0.95
21,0.19096580143961203,0.2738377665479978,0.7890625,0.7924445900207445,0.9
