epoch,train_loss,f1,precision,recall,auroc,auprc,loss
1,0.5991686345978309,0.8704512372634643,0.8059299191374663,0.9462025316455697,0.7164425105485231,0.8650270280391231,0.5188766777316488
2,0.5720488242056903,0.8698140200286123,0.793733681462141,0.9620253164556962,0.7301885548523207,0.877740814778718,0.6823853848861459
3,0.5684685675971989,0.8719424460431655,0.7994722955145118,0.9588607594936709,0.7327927215189874,0.881744864176687,0.5799078204244086
4,0.5397525324948688,0.8723098995695839,0.7979002624671916,0.9620253164556962,0.7318697257383966,0.880076086547955,0.7323518067805178
5,0.5364955161887407,0.8728323699421965,0.8031914893617021,0.9556962025316456,0.740110759493671,0.88872140687795,0.6781489952005112
6,0.5375888508673333,0.8740740740740741,0.8217270194986073,0.9335443037974683,0.7531645569620253,0.8955903148647323,0.5673917791449004
7,0.5530623843520706,0.8786127167630058,0.8085106382978723,0.9620253164556962,0.7581751054852321,0.8999773892269755,0.5871643415387738
8,0.5424678983582906,0.8571428571428571,0.8245614035087719,0.8924050632911392,0.7623945147679324,0.9038489652829449,0.5007476543519392
9,0.5384382051594842,0.8733997155049786,0.7932816537467701,0.9715189873417721,0.7648668248945149,0.90595558993562,0.8208659256315248
10,0.5445158979792674,0.8648648648648649,0.8228571428571428,0.9113924050632911,0.7638449367088608,0.9065120415138144,0.6344807528330068
11,0.5366609607155687,0.8733624454148472,0.8086253369272237,0.9493670886075949,0.7577465717299579,0.9038337028624132,0.6614958478620466
12,0.5152479751046903,0.868421052631579,0.8070652173913043,0.939873417721519,0.7488792194092826,0.8950644418041074,0.637262645586127
13,0.5091894685660525,0.8706896551724138,0.7973684210526316,0.9588607594936709,0.7573839662447259,0.9051771473392998,0.6905947188327984
14,0.5087225078115363,0.872093023255814,0.8064516129032258,0.9493670886075949,0.7695477320675106,0.9120074763253099,0.5842967886097381
15,0.5108996850385795,0.8742690058479532,0.8125,0.9462025316455697,0.7667457805907173,0.9090123870890773,0.6310804995803674
16,0.49015300305571485,0.8686868686868687,0.7984084880636605,0.9525316455696202,0.7622132120253164,0.9050514349529689,0.7003347483214649
17,0.5329885205264142,0.8629737609329446,0.8,0.9367088607594937,0.7535601265822786,0.9027014090802049,0.6345202898458596
18,0.5019736860324743,0.8714918759231906,0.817174515235457,0.9335443037974683,0.7641745780590717,0.9096960654480637,0.6191296690040228
19,0.4988939538843432,0.8584615384615385,0.8353293413173652,0.8829113924050633,0.7688554852320676,0.9141362445465172,0.5787694229206378
20,0.48793682451428083,0.8723098995695839,0.7979002624671916,0.9620253164556962,0.7699433016877637,0.9126082596857371,0.6215371851966427
