system_name,system_family,train_split,train_children,train_clip_count,includes_synthetic,synth_corpus_version,synth_clip_count,pretrained_backbone,backbone_frozen,eval_splits,config_path,result_dir
mil/mil_results/hubert_large_mil,mil_frame_window,seen_child_train,0,0,False,,0,facebook/hubert-large-ls960-ft,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/hubert_large_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/hubert_large_mil
mil/mil_results/hubert_large_mil_layersum,mil_frame_window,seen_child_train,0,0,False,,0,facebook/hubert-large-ls960-ft,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/hubert_large_mil_layersum/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/hubert_large_mil_layersum
mil/mil_results/multi_child_suppressor,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/multi_child_suppressor/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/multi_child_suppressor
mil/mil_results/seg_conditioned_mil,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-small or microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/seg_conditioned_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/seg_conditioned_mil
mil/mil_results/short_voc_head,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/short_voc_head/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/short_voc_head
mil/mil_results/wav2vec2_large_mil,mil_frame_window,seen_child_train,0,0,False,,0,facebook/wav2vec2-large-960h,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wav2vec2_large_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wav2vec2_large_mil
mil/mil_results/wavlm_mil,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil
mil/mil_results/wavlm_mil_acmil,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil
mil/mil_results/wavlm_mil_acmil_gated,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil_gated/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil_gated
mil/mil_results/wavlm_mil_acmil_max,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil_max/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil_max
mil/mil_results/wavlm_mil_acmil_topk,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil_topk/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_acmil_topk
mil/mil_results/wavlm_mil_child_adapted,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_child_adapted/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_child_adapted
mil/mil_results/wavlm_mil_cross_child,mil_frame_window,cross_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_cross_child/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_cross_child
mil/mil_results/wavlm_mil_cross_child_synth,mil_frame_window,cross_child_train,0,0,True,v2,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_cross_child_synth/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_cross_child_synth
mil/mil_results/wavlm_mil_cross_child_synth_v1,mil_frame_window,cross_child_train,0,0,True,v2,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_cross_child_synth_v1/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_cross_child_synth_v1
mil/mil_results/wavlm_mil_hardneg,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_hardneg/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_hardneg
mil/mil_results/wavlm_mil_hardneg_synth,mil_frame_window,synth_train_unknown,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_hardneg_synth/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_hardneg_synth
mil/mil_results/wavlm_mil_hardneg_synth_v1,mil_frame_window,synth_train_unknown,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_hardneg_synth_v1/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_hardneg_synth_v1
mil/mil_results/wavlm_mil_kfold3_f0,mil_frame_window,seen_child_kfold3_legacy,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_kfold3_f0/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_kfold3_f0
mil/mil_results/wavlm_mil_kfold3_f1,mil_frame_window,seen_child_kfold3_legacy,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_kfold3_f1/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_kfold3_f1
mil/mil_results/wavlm_mil_kfold3_f2,mil_frame_window,seen_child_kfold3_legacy,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_kfold3_f2/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_kfold3_f2
mil/mil_results/wavlm_mil_knnvc,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_knnvc/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_knnvc
mil/mil_results/wavlm_mil_layersum,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_layersum/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_layersum
mil/mil_results/wavlm_mil_tinyvox,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tinyvox/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tinyvox
mil/mil_results/wavlm_mil_tsmil_concat,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tsmil_concat/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tsmil_concat
mil/mil_results/wavlm_mil_tsmil_concat_cross_child,mil_frame_window,cross_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""unknown""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tsmil_concat_cross_child/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tsmil_concat_cross_child
mil/mil_results/wavlm_mil_tsmil_film,mil_frame_window,seen_child_train,0,0,False,,0,microsoft/wavlm-base-plus,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tsmil_film/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/wavlm_mil_tsmil_film
mil/mil_results/whisper_base_mil,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-base,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_base_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_base_mil
mil/mil_results/whisper_large_mil,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-large-v3,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_large_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_large_mil
mil/mil_results/whisper_medium_mil,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-medium,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil
mil/mil_results/whisper_medium_mil_kfold3_f0,mil_frame_window,seen_child_kfold3_legacy,0,0,False,,0,openai/whisper-medium,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil_kfold3_f0/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil_kfold3_f0
mil/mil_results/whisper_medium_mil_kfold3_f1,mil_frame_window,seen_child_kfold3_legacy,0,0,False,,0,openai/whisper-medium,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil_kfold3_f1/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil_kfold3_f1
mil/mil_results/whisper_medium_mil_kfold3_f2,mil_frame_window,seen_child_kfold3_legacy,0,0,False,,0,openai/whisper-medium,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil_kfold3_f2/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_medium_mil_kfold3_f2
mil/mil_results/whisper_mil,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-small,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil
mil/mil_results/whisper_mil_acmil,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-small,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil_acmil/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil_acmil
mil/mil_results/whisper_mil_acmil_gated,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-small,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil_acmil_gated/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil_acmil_gated
mil/mil_results/whisper_mil_acmil_max,mil_frame_window,seen_child_train,0,0,False,,0,openai/whisper-small,True,"[""seen_child_test""]",/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil_acmil_max/config.json,/orcd/scratch/orcd/008/manaal/child-adult-diarization/mil/mil_results/whisper_mil_acmil_max
