File                           DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
---------------------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
cameron_aae_B3_26_47_PE_S22  52.40  51.86            0.60         0.49     0.54             0.14             0.17          0.97          1.25  0.22   0.17
cameron_aae_B3_31_47_PE_S22  60.95  57.06            0.48         0.47     0.47             0.17             0.21          1.29          1.39  0.28   0.17
cameron_aae_B3_32_47_PE_S22  52.80  52.01            0.52         0.51     0.51             0.21             0.24          1.20          1.24  0.32   0.21
cameron_aae_B5_35_58_PE_O22  49.22  45.97            0.51         0.49     0.50             0.25             0.27          1.20          1.37  0.38   0.23
cameron_aae_B5_37_59_PE_O22  71.04  68.38            0.59         0.32     0.42             0.03             0.04          0.98          1.89  0.06   0.04
cameron_aae_B7_49_48_PE_N22  57.07  49.20            0.52         0.48     0.50             0.24             0.27          1.19          1.39  0.38   0.23
cameron_aae_B7_51_54_PE_N22  74.69  67.95            0.47         0.56     0.51             0.10             0.12          1.29          1.11  0.17   0.12
cameron_aae_B7_53_53_PE_N22  48.62  47.71            0.53         0.47     0.50             0.22             0.28          1.18          1.38  0.38   0.23
cameron_aae_B7_56_49_PE_N22  60.84  59.06            0.46         0.47     0.46             0.15             0.17          1.34          1.37  0.24   0.15
cameron_aae_B7_57_49_PE_N22  34.54  39.05            0.59         0.55     0.57             0.29             0.32          1.01          1.26  0.43   0.27
cameron_aae_B7_58_51_PE_N22  61.78  55.53            0.50         0.45     0.47             0.13             0.14          1.16          1.42  0.21   0.14
cameron_aae_B7_63_57_PE_N22  56.21  52.93            0.53         0.39     0.45             0.16             0.23          1.18          1.66  0.30   0.18
cameron_aae_B7_66_56_PE_N22  74.02  60.97            0.52         0.59     0.56             0.30             0.25          1.14          1.16  0.37   0.25
cameron_aae_B7_67_51_PE_N22  22.21  29.40            0.70         0.67     0.68             0.41             0.45          0.79          0.88  0.54   0.39
cameron_aae_B7_68_54_PE_N22  64.20  60.86            0.47         0.55     0.51             0.23             0.20          1.27          1.23  0.30   0.19
cameron_sae_B1_14_54_PE_O22  36.04  40.60            0.63         0.61     0.62             0.34             0.37          0.91          0.91  0.50   0.35
cameron_sae_B1_17_55_PE_O22  30.85  31.79            0.67         0.59     0.63             0.40             0.46          0.82          1.12  0.67   0.41
cameron_sae_B1_29_51_PE_O22  46.79  48.30            0.54         0.53     0.54             0.28             0.31          1.15          1.20  0.42   0.26
cameron_sae_B1_36_54_PE_O22  63.64  69.41            0.54         0.56     0.55             0.17             0.16          1.09          1.10  0.18   0.14
cameron_sae_B2_10_55_PE_A22  41.37  43.73            0.56         0.49     0.52             0.23             0.27          1.10          1.55  0.36   0.21
cameron_sae_B2_19_49_PE_S22  51.58  52.78            0.53         0.46     0.49             0.19             0.22          1.15          1.42  0.29   0.19
cameron_sae_B3_21_49_PE_A22  40.14  43.20            0.61         0.63     0.62             0.35             0.36          0.97          0.88  0.47   0.34
cameron_sae_B3_22_66_PE_A22  33.16  40.31            0.65         0.59     0.62             0.35             0.38          0.87          1.14  0.49   0.33
cameron_sae_B6_34_51_PE_O22  49.30  49.42            0.59         0.51     0.55             0.24             0.29          0.98          1.32  0.37   0.25
cameron_sae_B6_43_56_PE_O22  43.92  44.99            0.56         0.48     0.52             0.23             0.28          1.10          1.37  0.37   0.23
cameron_sae_B6_44_59_PE_O22  48.51  45.19            0.58         0.57     0.58             0.27             0.31          1.02          1.00  0.44   0.30
cameron_sae_B6_47_57_PE_O22  37.81  47.42            0.66         0.47     0.55             0.18             0.26          0.90          1.41  0.27   0.19
cameron_sae_B7_61_54_PE_N22  50.88  50.17            0.50         0.45     0.48             0.19             0.24          1.23          1.42  0.33   0.20
cameron_sae_B7_65_58_PE_N22  35.02  40.84            0.65         0.65     0.65             0.39             0.41          0.87          0.87  0.51   0.37
ew_42ec_11006                46.82  47.65            0.53         0.48     0.50             0.22             0.24          1.15          1.40  0.33   0.21
ew_42ec_11013                46.35  47.29            0.52         0.46     0.49             0.21             0.26          1.18          1.48  0.35   0.21
ew_42ec_11023                56.13  58.52            0.55         0.55     0.55             0.19             0.20          1.10          1.09  0.25   0.18
ew_42ec_11025                41.77  44.24            0.54         0.49     0.51             0.24             0.29          1.16          1.36  0.39   0.24
ew_42ec_11051                40.26  42.80            0.55         0.50     0.52             0.27             0.31          1.12          1.40  0.44   0.26
ew_42ec_11053                55.41  53.62            0.47         0.44     0.46             0.18             0.20          1.31          1.48  0.27   0.16
ew_42ec_11055                30.89  38.34            0.57         0.54     0.55             0.31             0.34          1.08          1.34  0.46   0.28
ew_42ec_11057                54.47  51.32            0.49         0.47     0.48             0.20             0.23          1.26          1.35  0.33   0.20
ew_42ec_12003                26.76  34.51            0.60         0.57     0.58             0.35             0.38          1.03          1.24  0.51   0.31
ew_42ec_12004                70.45  62.43            0.45         0.50     0.48             0.13             0.16          1.33          1.22  0.21   0.14
ew_42ec_12007                53.44  57.05            0.48         0.46     0.47             0.14             0.16          1.29          1.44  0.21   0.13
