epoch,train_loss,f1,f1_macro,f1_weighted,balanced_accuracy,precision,recall,auroc,auprc,loss
1,0.8750665386684578,0.8857938718662952,0.7706280283701223,0.8188145737660106,0.7496020882409117,0.8390501319261213,0.9380530973451328,0.8571974278983893,0.9087482117832558,1.5310611399873069
2,0.6919602743118334,0.8861111111111111,0.7693267419962335,0.8181904947639648,0.7474798921924407,0.8372703412073491,0.9410029498525073,0.8790772691581248,0.9342779633833641,1.3094982488153684
3,0.4540905602075474,0.8926553672316384,0.7931018771642063,0.8347560571087386,0.7754292141508032,0.8563685636856369,0.9321533923303835,0.8863139576834108,0.9424604845417364,1.5648843896725386
4,0.21801223120153213,0.896358543417367,0.7952867097252124,0.8375761798892938,0.774134674561236,0.8533333333333334,0.943952802359882,0.8341822117527218,0.891734994491495,2.3477547734518702
5,0.1285237621070194,0.8955650929899857,0.8057592001914908,0.8433348875548778,0.7925871692026909,0.8694444444444445,0.9233038348082596,0.8482311495935996,0.9013106827371714,2.373002926327125
6,0.05407875999978961,0.8838526912181303,0.7779263456090652,0.8222469923074187,0.7623352645317374,0.8501362397820164,0.9203539823008849,0.8288236667303326,0.8868111091720028,3.6826408195360423
7,0.09402206190601663,0.8628048780487805,0.7814024390243902,0.8154620369425452,0.7951019715201291,0.8927444794952681,0.8348082595870207,0.8371320642600963,0.8992472699345663,4.667270944612349
8,0.11790193253996739,0.8802308802308803,0.7823207633093565,0.8232873394271488,0.7735935145688759,0.8615819209039548,0.8997050147492626,0.8104030050296046,0.8758149305992082,4.767025157443001
9,0.13451599290949293,0.8842398884239888,0.7684797768479776,0.8169149699760159,0.7481271619872243,0.8386243386243386,0.9351032448377581,0.812864752445831,0.8741718780217219,4.492175499185711
10,0.12120103035379903,0.8776371308016878,0.7612675449926807,0.8099577482600477,0.7443496530209461,0.8387096774193549,0.9203539823008849,0.7804375968251948,0.854296685779342,5.419045780280951
11,0.04405295236566261,0.888243831640058,0.7999271592657219,0.8368797418491261,0.7930540523333545,0.8742857142857143,0.9026548672566371,0.8110396638441458,0.876262894730297,5.2784986391881255
12,0.15308714533843779,0.8875912408759125,0.8017291997737496,0.8376547399838595,0.7972984444302964,0.8786127167630058,0.8967551622418879,0.8351371999745337,0.8937846683007409,4.036952320814161
13,0.07424756711116835,0.8722466960352423,0.777941529835803,0.8173997583711331,0.7761825937480105,0.868421052631579,0.8761061946902655,0.8079624795738631,0.8775948430157674,5.787724048995529
14,0.08426341083734218,0.8794117647058823,0.79115515771526,0.8280826083389513,0.7899238131618599,0.8768328445747801,0.8820058997050148,0.8072621548778677,0.8730099523314566,5.7739352356895495
15,0.06929251274603632,0.8914956011730205,0.8107113042361453,0.8445122652975993,0.8080898113367713,0.8862973760932945,0.8967551622418879,0.8377156681734259,0.8971890910821895,4.45683020093584
16,0.062245302738942423,0.8822695035460993,0.775796106354723,0.8203456449285207,0.7608603382780501,0.8497267759562842,0.9174041297935103,0.8070074913520511,0.870931005596467,5.894836828942694
17,0.011163123995088264,0.8766716196136701,0.7916927002661991,0.8272487334659778,0.7948154750535854,0.8832335329341318,0.8702064896755162,0.8212580378175335,0.8818737482633727,6.12480901783193
18,0.05763568949447754,0.8885672937771346,0.7990006280206428,0.8364762203873758,0.7909318562848836,0.8721590909090909,0.9056047197640118,0.8130026951889816,0.8760063888850339,6.54286669850192
19,0.058955276641000684,0.884450784593438,0.7834018628849543,0.8256817464449892,0.7701767789308376,0.856353591160221,0.9144542772861357,0.8062647227350863,0.870306322352232,6.359175213528121
20,0.14927053181219582,0.884450784593438,0.7834018628849543,0.8256817464449892,0.7701767789308376,0.856353591160221,0.9144542772861357,0.8257464824600497,0.8856367744756984,4.565186462252524
