epoch,train_loss,val_loss,val_f1,val_auroc
1,0.6024914914049393,0.5627039859023836,0.8370044052863436,0.6607319757842598
2,0.4889752060051792,0.5992494833303438,0.7671232876712328,0.6917446340121078
3,0.44506907561593806,0.5048307514730019,0.8516886930983847,0.7594386351128233
4,0.4365067038654296,0.5167460596564889,0.8178913738019169,0.7699229499174464
5,0.39242079573845073,0.4588276674482634,0.8699300699300699,0.8217116125481563
6,0.3903888947799925,0.47852642472893897,0.8461538461538461,0.8393230599889928
7,0.3880240651509486,0.483055889563259,0.8308702791461412,0.836571271326362
8,0.3723993986413991,0.4419225344732577,0.8773584905660378,0.8624380847550908
9,0.3608596307063891,0.4163768563825819,0.8926380368098159,0.8763621353880022
10,0.3508614753334483,0.41078424181901524,0.8871951219512195,0.870170610897083
11,0.3431428427969621,0.44719457993685785,0.8609271523178808,0.879031370390754
12,0.32789383657769233,0.42268234240690683,0.8715447154471545,0.8827738029719319
13,0.3493051261079213,0.3854981579768132,0.8922610015174507,0.8861034672537149
14,0.34044728423507253,0.43146366814449605,0.8571428571428571,0.8882223445239406
