stratum,n,n_pos,stack_f1,base_f1,delta_f1,stack_precision,base_precision,delta_precision,stack_recall,base_recall,delta_recall,stack_auroc,base_auroc,delta_auroc,stack_auprc,base_auprc,delta_auprc
overall,441,335,0.9015,0.8929,0.0086,0.9015,0.8902,0.0113,0.9015,0.8955,0.006,0.9001,0.8782,0.0219,0.9641,0.9559,0.0082
n_children=1,347,273,0.9145,0.9047,0.0098,0.9283,0.9237,0.0046,0.9011,0.8864,0.0147,0.9149,0.8994,0.0155,0.9744,0.9675,0.0069
n_children>=2,94,62,0.8485,0.8467,0.0018,0.8,0.7733,0.0267,0.9032,0.9355,-0.0323,0.8659,0.8584,0.0076,0.9182,0.9285,-0.0103
coi=yes,402,311,0.9076,0.8947,0.013,0.915,0.902,0.0131,0.9003,0.8875,0.0129,0.8997,0.8805,0.0191,0.9659,0.9592,0.0068
coi=no,39,24,0.8302,0.8727,-0.0425,0.7586,0.7742,-0.0156,0.9167,1.0,-0.0833,0.9139,0.9083,0.0056,0.9507,0.9367,0.0139
timepoint=14_month,234,163,0.8634,0.8659,-0.0025,0.8742,0.8606,0.0136,0.8528,0.8712,-0.0184,0.8933,0.882,0.0113,0.9479,0.942,0.0058
timepoint=36_month,207,172,0.9368,0.9186,0.0182,0.9261,0.9186,0.0075,0.9477,0.9186,0.0291,0.8937,0.864,0.0297,0.9754,0.9678,0.0075
n_adults>=2,15,7,0.6667,0.7273,-0.0606,0.8,1.0,-0.2,0.5714,0.5714,0.0,0.8393,0.6161,0.2232,0.8844,0.7636,0.1208
n_adults=1,89,69,0.8696,0.8714,-0.0019,0.8696,0.8592,0.0104,0.8696,0.8841,-0.0145,0.8493,0.8428,0.0065,0.9494,0.9486,0.0008
n_adults=0,337,259,0.9154,0.9021,0.0133,0.9119,0.8969,0.0149,0.9189,0.9073,0.0116,0.9095,0.8876,0.0218,0.9689,0.9601,0.0088
