system,n_predictions,FN,FP,errors
panns_cnn14_cross_child,496,24,28,52
baseline_fused_attn_unfreeze2,496,32,47,79
ensemble_cross_child_audio_mil,496,15,64,79
ensemble_cross_child_audio_mil_clap,496,14,68,82
whisper_mil_cross_child,496,7,79,86
baseline_whisper_mean,496,32,58,90
vtc_role_only,496,52,38,90
baseline_whisper_attn,496,35,56,91
baseline_fused_attn_lw,496,20,74,94
baseline_whisper_attn_unfreeze2,496,32,67,99
baseline_whisper_attn_ptt,496,32,67,99
vtc_kchi_role_only,496,82,17,99
baseline_whisper_attn_aug,496,44,56,100
baseline_wavlm_attn,496,26,74,100
baseline_fused_attn,496,31,72,103
baseline_whisper_attn_aug_ptt,496,33,72,105
baseline_wavlm_attn_lw,496,15,91,106
baseline_wavlm_mean,496,13,95,108
audio_llm_qwen2_cross_child,496,5,106,111
baseline_whisper_stats_lw,496,22,90,112
babar_role_only,496,100,17,117
wavlm_mil_cross_child_synth,496,0,118,118
baseline_wavlm_stats_lw,496,3,115,118
wavlm_mil_cross_child,496,0,119,119
granite_speech_cross_child,496,0,122,122
cohere_transcribe_cross_child,496,0,122,122
whisper_mil_cross_child_synth,496,1,121,122
baseline_whisper_attn_lw,496,29,93,122
parakeet_tdt_cross_child,496,27,114,141
clap_htsat_fused_cross_child,496,110,56,166
vad_energy_cross_child,496,202,56,258
vad_silero_cross_child,496,300,16,316
