audio_path,child_id,timepoint_norm,#_children,#_adults,Child_of_interest_clear,FN_count,n_systems_with_pred,systems_FN
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-U6O5F2B7T5/ses-01/beh/sub-U6O5F2B7T5_ses-01_task-motorplay_run-05_audio.wav,U6O5F2B7T5,14_month,1,0,yes,20,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;panns_cnn14_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;vad_energy_cross_child;baseline_fused_attn;baseline_fused_attn_lw;baseline_wavlm_attn;baseline_wavlm_attn_lw;baseline_wavlm_stats_lw;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_ptt;baseline_whisper_mean;baseline_whisper_stats_lw;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,C0O6X3N5Y7,14_month,1,0,yes,19,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;audio_llm_qwen2_cross_child;vad_silero_cross_child;vad_energy_cross_child;baseline_fused_attn;baseline_fused_attn_lw;baseline_fused_attn_unfreeze2;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_lw;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;baseline_whisper_mean;baseline_whisper_stats_lw;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-generalsocialcommunicationinteraction_run-03_audio.wav,C0O6X3N5Y7,14_month,1,1,yes,17,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;whisper_mil_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;baseline_fused_attn_unfreeze2;baseline_wavlm_attn;baseline_wavlm_mean;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_lw;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-other_run-03_audio.wav,F3N4H0K1Z1,36_month,1,0,yes,17,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;whisper_mil_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;vad_energy_cross_child;baseline_fused_attn;baseline_fused_attn_lw;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_lw;baseline_whisper_attn_unfreeze2;baseline_whisper_mean;baseline_whisper_stats_lw;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D4Y7P4G2V4/ses-01/beh/sub-D4Y7P4G2V4_ses-01_task-motorplay_run-01_audio.wav,D4Y7P4G2V4,14_month,4,0,yes,16,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;whisper_mil_cross_child;panns_cnn14_cross_child;vad_silero_cross_child;baseline_fused_attn_lw;baseline_wavlm_attn_lw;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;baseline_whisper_mean;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3D3S2N7W8/ses-01/beh/sub-G3D3S2N7W8_ses-01_task-motorplay_run-02_audio.wav,G3D3S2N7W8,14_month,1,0,yes,16,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;panns_cnn14_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;vad_energy_cross_child;baseline_fused_attn_unfreeze2;baseline_wavlm_attn;baseline_wavlm_attn_lw;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;baseline_whisper_mean
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-other_run-02_audio.wav,N3L7A1I2B9,14_month,1,0,yes,16,32,whisper_mil_cross_child;panns_cnn14_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;baseline_fused_attn;baseline_fused_attn_lw;baseline_fused_attn_unfreeze2;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;baseline_whisper_mean;baseline_whisper_stats_lw;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-other_run-10_audio.wav,N3L7A1I2B9,14_month,1,0,yes,16,32,whisper_mil_cross_child;panns_cnn14_cross_child;vad_silero_cross_child;baseline_fused_attn;baseline_fused_attn_lw;baseline_fused_attn_unfreeze2;baseline_wavlm_attn;baseline_wavlm_attn_lw;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_aug_ptt;baseline_whisper_attn_lw;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;baseline_whisper_mean;baseline_whisper_stats_lw
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-L4M8P2T7S0/ses-02/beh/sub-L4M8P2T7S0_ses-02_task-other_run-10_audio.wav,L4M8P2T7S0,36_month,1,0,yes,14,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;audio_llm_qwen2_cross_child;parakeet_tdt_cross_child;panns_cnn14_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;baseline_fused_attn_lw;baseline_wavlm_attn;baseline_wavlm_attn_lw;baseline_whisper_stats_lw;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-26_audio.wav,N3L7A1I2B9,14_month,1,0,yes,14,32,babar_role_only;vtc_role_only;vtc_kchi_role_only;whisper_mil_cross_child;clap_htsat_fused_cross_child;vad_silero_cross_child;baseline_fused_attn_lw;baseline_fused_attn_unfreeze2;baseline_whisper_attn;baseline_whisper_attn_aug;baseline_whisper_attn_ptt;baseline_whisper_attn_unfreeze2;ensemble_cross_child_audio_mil;ensemble_cross_child_audio_mil_clap
