epoch,train_loss,loss_bce,loss_div,val_loss,val_f1,val_auroc
1,0.5636889943681611,0.5636889943681611,0.0,0.5492600368322756,0.8502024291497976,0.6413832199546484
2,0.5279859899560366,0.5279859899560366,0.0,0.5420630495358407,0.8579387186629527,0.657454648526077
3,0.513282417336856,0.513282417336856,0.0,0.5401116128164656,0.8535211267605634,0.6567460317460317
4,0.49421759937072823,0.49421759937072823,0.0,0.5358276500844286,0.8575418994413407,0.6672335600907029
5,0.49071136948886823,0.49071136948886823,0.0,0.5302476308349983,0.85997171145686,0.6721371882086168
6,0.47565110832269936,0.47565110832269936,0.0,0.5335561329852223,0.86,0.6778061224489796
7,0.46396337952350547,0.46396337952350547,0.0,0.5206143359721266,0.85997171145686,0.7073979591836735
8,0.46580676748160205,0.46580676748160205,0.0,0.5102284405493904,0.861271676300578,0.7154478458049887
9,0.4515204446995916,0.4515204446995916,0.0,0.5087553649896481,0.8517441860465116,0.7239795918367347
10,0.4468600307962646,0.4468600307962646,0.0,0.5021692543122612,0.8591954022988506,0.7356859410430839
11,0.4364468493710266,0.4364468493710266,0.0,0.503255529966057,0.8542568542568543,0.7363945578231292
12,0.42253303130163006,0.42253303130163006,0.0,0.5030665610866748,0.8612303290414879,0.7514172335600906
13,0.4082888434726768,0.4082888434726768,0.0,0.5265760605836362,0.8250401284109149,0.7570011337868481
