epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.560926243390252,0.5037964444469523,0.8467966573816156,0.7505228398458998,0.5
2,0.4960823750532255,0.5202686764575817,0.8502024291497976,0.748293891029169,0.15
3,0.4773953407094246,0.4445962969351698,0.8501362397820164,0.7654925701706109,0.25
4,0.4467888160994867,0.4391904343609457,0.8474114441416893,0.7612548156301596,0.3
5,0.43389253618150225,0.4413147822574333,0.8563300142247511,0.7862960924600991,0.55
6,0.4169316588923698,0.4432881706290775,0.855944055944056,0.7869565217391304,0.35
7,0.3871157435564006,0.4210237275671076,0.8528198074277854,0.774105668684645,0.3
8,0.40867573840589055,0.4174759150655181,0.8534850640113798,0.7834067143643368,0.7
9,0.3961964816581912,0.4038110545112027,0.8545727136431784,0.7727848101265822,0.7
10,0.3846191474940719,0.3970294200159885,0.8555399719495091,0.7790588882773803,0.5
