model,stratum,auroc,auprc,f1,precision,recall,balanced_accuracy,threshold,n_clips
audio_only,multi_person,0.5336274509803922,0.7582438162804077,0.8524590163934426,0.7835616438356164,0.934640522875817,0.5723202614379085,0.01,406
video_only,multi_person,0.6146568627450981,0.800562187940626,0.8631875881523272,0.7593052109181141,1.0,0.515,0.12878787878787878,406
always_fuse,multi_person,0.6361601307189543,0.8027521281570689,0.8615819209039548,0.7587064676616916,0.9967320261437909,0.5133660130718954,0.18818181818181817,406
gated_av,multi_person,0.587532679738562,0.7855070898292225,0.8571428571428571,0.7736842105263158,0.9607843137254902,0.5503921568627451,0.01,406
audio_only,low_quality,0.6666666666666666,0.5138888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333334,0.01,8
video_only,low_quality,0.43333333333333335,0.5694444444444444,0.5454545454545454,0.375,1.0,0.5,0.12878787878787878,8
always_fuse,low_quality,0.5999999999999999,0.6805555555555556,0.4,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.18818181818181817,8
gated_av,low_quality,0.6666666666666666,0.5138888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333334,0.01,8
audio_only,low_face_visibility,0.563938938938939,0.6773747655640272,0.8194726166328601,0.7292418772563177,0.9351851851851852,0.6297547547547548,0.01,327
video_only,low_face_visibility,0.5274649649649649,0.6832833153015903,0.7955801104972375,0.6605504587155964,1.0,0.5,0.12878787878787878,327
always_fuse,low_face_visibility,0.6105063396730064,0.732520792545676,0.7955801104972375,0.6605504587155964,1.0,0.5,0.18818181818181817,327
gated_av,low_face_visibility,0.563938938938939,0.6773747655640272,0.8194726166328601,0.7292418772563177,0.9351851851851852,0.6297547547547548,0.01,327
