audio_path,child_id,timepoint_norm,#_children,#_adults,Child_of_interest_clear,FP_count,n_systems_with_pred,systems_FP
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F8N7H3T0O1/ses-02/beh/sub-F8N7H3T0O1_ses-02_task-motorplay_run-01_audio.wav,F8N7H3T0O1,36_month,2,0,yes,30,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;raw_ecapa_top3;vad_silero;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A2P7X9N8L7/ses-01/beh/sub-A2P7X9N8L7_ses-01_task-motorplay_run-07_audio.wav,A2P7X9N8L7,14_month,1,1,yes,29,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;talknet_asd;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;raw_ecapa_top3;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-motorplay_run-03_audio.wav,B1S3L8Q7Y6,14_month,2,0,no,29,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;raw_ecapa_top3;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1G1X2G4C6/ses-02/beh/sub-C1G1X2G4C6_ses-02_task-specialoccasion_run-01_audio.wav,C1G1X2G4C6,36_month,2,1,yes,28,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;raw_ecapa_top3;vad_energy;baseline_fused_attn_unfreeze2;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1I8N8L4Q4/ses-02/beh/sub-C1I8N8L4Q4_ses-02_task-other_run-01_audio.wav,C1I8N8L4Q4,36_month,2,0,yes,28,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;clap_htsat_fused;raw_ecapa_top3;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E3O3H8O7H4/ses-01/beh/sub-E3O3H8O7H4_ses-01_task-toyplay_run-01_audio.wav,E3O3H8O7H4,14_month,2,0,no,27,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;raw_ecapa_top3;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-motorplay_run-05_audio.wav,F3N4H0K1Z1,36_month,2,0,yes,27,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;raw_ecapa_top3;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Q9W9P7Z3J7/ses-02/beh/sub-Q9W9P7Z3J7_ses-02_task-motorplay_run-01_audio.wav,Q9W9P7Z3J7,36_month,1,0,no,27,32,usc_sail;pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;raw_ecapa_top3;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-R2C7W8X7N9/ses-01/beh/sub-R2C7W8X7N9_ses-01_task-specialoccasion_run-03_audio.wav,R2C7W8X7N9,14_month,2,1,yes,27,32,pyannote;babar;vtc;vtc_kchi;vbx;eend_eda;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;vad_silero;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Y4W4H9A8X5/ses-02/beh/sub-Y4W4H9A8X5_ses-02_task-motorplay_run-01_audio.wav,Y4W4H9A8X5,36_month,8,1,no,27,32,usc_sail;pyannote;vtc;vbx;eend_eda;sortformer;pyannote_alt;wavlm_mil;whisper_mil;hubert_large_mil_layersum;wav2vec2_large_mil;seg_mil_usc_sail_transformer;seg_mil_babar_vtc_transformer;seg_mil_pyannote_transformer;pseudo_frame_wavlm;audio_llm_qwen2;parakeet_tdt;granite_speech;cohere_transcribe;panns_cnn14;clap_htsat_fused;vad_silero;vad_energy;baseline_fused_attn_unfreeze2;baseline_whisper_attn;ensemble_metadata_stack;ensemble_metadata_stack_av
