system,n_predictions,FN,FP,errors
ensemble_metadata_stack,441,34,29,63
ensemble_metadata_stack_av,441,41,26,67
baseline_fused_attn_unfreeze2,441,29,40,69
baseline_whisper_attn,441,27,48,75
vtc,441,35,43,78
whisper_mil,441,32,46,78
vtc_kchi,441,57,25,82
babar,441,57,25,82
wavlm_mil,441,9,78,87
hubert_large_mil_layersum,441,10,80,90
wav2vec2_large_mil,441,15,75,90
usc_sail,441,19,74,93
audio_llm_qwen2,441,18,76,94
seg_mil_pyannote_transformer,441,12,82,94
seg_mil_usc_sail_transformer,441,3,95,98
pyannote_alt,441,34,66,100
pseudo_frame_wavlm,441,3,97,100
panns_cnn14,441,52,48,100
seg_mil_babar_vtc_transformer,441,50,51,101
vbx,441,29,74,103
pyannote,441,43,61,104
granite_speech,441,1,105,106
cohere_transcribe,441,0,106,106
parakeet_tdt,441,17,99,116
clap_htsat_fused,441,69,47,116
eend_eda,441,26,91,117
sortformer,441,57,62,119
raw_ecapa_top3,441,90,57,147
vad_energy,441,184,56,240
talknet_asd,441,280,4,284
vad_silero,441,284,14,298
loconet_ecapa,441,335,0,335
