clip_id,label,vad_speech_detected,vad_child_dur_sec,child_id_score,av_fusion_prob,cascade_stage,final_prob,vad_threshold,child_id_threshold
1538,0,True,0.0,0.0,0.16288387775421143,2,0.0,0.0,0.1
1541,1,True,13.2,0.3703664673744577,0.3918799165254093,3,0.3918799165254093,0.0,0.1
1529,1,True,1.44,0.3772772403231672,0.3772772403231672,3,0.3772772403231672,0.0,0.1
2395,1,True,1.5,0.66886505750206,0.6364608693835221,3,0.6364608693835221,0.0,0.1
2399,1,True,6.12,0.4523533714169992,0.4350760671147022,3,0.4350760671147022,0.0,0.1
2377,1,True,3.28,0.3085176977807474,0.3085176977807474,3,0.3085176977807474,0.0,0.1
2311,1,True,0.4,0.3828703483940049,0.43089312163001486,3,0.43089312163001486,0.0,0.1
2314,0,True,2.36,0.518040469136896,0.5308836575279073,3,0.5308836575279073,0.0,0.1
2315,1,True,7.180000000000001,0.3918051681894455,0.40688700709590075,3,0.40688700709590075,0.0,0.1
2324,1,True,1.9,0.1653088119578582,0.3305258245136892,3,0.3305258245136892,0.0,0.1
2326,1,True,25.360000000000007,0.4901730774588442,0.513469738873138,3,0.513469738873138,0.0,0.1
3254,1,True,9.560000000000002,0.4467626951218829,0.43116259370812077,3,0.43116259370812077,0.0,0.1
3262,1,True,0.28,0.0,0.16825532913208008,2,0.0,0.0,0.1
3269,1,True,1.46,0.5426079805638289,0.5426079805638289,3,0.5426079805638289,0.0,0.1
3274,1,True,2.62,0.2136482688824116,0.3592853074399477,3,0.3592853074399477,0.0,0.1
2978,1,True,41.620000000000005,0.566988347249253,0.6127539235293035,3,0.6127539235293035,0.0,0.1
2980,1,True,0.0,0.0,0.20694942772388458,2,0.0,0.0,0.1
2985,1,True,52.99999999999999,0.5100515498247106,0.5100515498247106,3,0.5100515498247106,0.0,0.1
2705,1,True,4.82,0.4113940408346423,0.399755518373068,3,0.399755518373068,0.0,0.1
2707,1,True,5.5200000000000005,0.302723251054561,0.351102045763446,3,0.351102045763446,0.0,0.1
2695,1,True,2.76,0.5694414644286078,0.6255577184946864,3,0.6255577184946864,0.0,0.1
2715,0,True,0.18,0.0,0.11160460114479065,2,0.0,0.0,0.1
2473,0,True,0.0,0.0,0.0,2,0.0,0.0,0.1
2480,0,True,0.0,0.0,0.0,2,0.0,0.0,0.1
2482,0,True,0.42,0.2415002779199767,0.28747890166678647,3,0.28747890166678647,0.0,0.1
2486,0,True,2.46,0.4724776773477654,0.4724776773477654,3,0.4724776773477654,0.0,0.1
2500,1,True,2.16,0.5202182397316927,0.532408096944265,3,0.532408096944265,0.0,0.1
2501,1,True,7.859999999999999,0.5571669919770211,0.558390225811489,3,0.558390225811489,0.0,0.1
2658,1,True,21.66,0.4901794904647598,0.4615543504481346,3,0.4615543504481346,0.0,0.1
