clip_id,asd_model,max_asd_score_any_face,mean_asd_score_any_face,max_asd_score_target_candidate,mean_asd_score_target_candidate,fraction_frames_active_speaker,n_active_speaker_tracks,asd_confidence_summary,max_asd_score_smallest_face,mean_asd_score_smallest_face,fraction_frames_any_active,fraction_frames_child_active
1535,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1536,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1537,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1538,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1539,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1540,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1541,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1542,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1543,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1527,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1528,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1529,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1530,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1531,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1532,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1533,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1534,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2387,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2389,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2390,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2391,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2392,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2393,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2394,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2395,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2396,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2399,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2376,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2377,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2378,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2379,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2380,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2381,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2383,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2384,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2299,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2300,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2301,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2302,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2303,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2304,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2307,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2308,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2311,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2312,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2313,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2314,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2315,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2316,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2318,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2319,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2320,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2321,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2322,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2323,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2324,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2325,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2326,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2327,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2328,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2329,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3253,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3254,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3255,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3256,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3257,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3258,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3259,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3260,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3262,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3263,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3264,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3265,loconet,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
