clip_id,child_id,age_band,error_mode,label,proba_audio_only,proba_gated_av,proba_delta,visual_eligible,visual_eligibility_score,off_camera_likely_score,multi_person_clip,child_visible_score,manual_face_visibility_norm,manual_quality_norm,child_of_interest_clear_binary,n_face_tracks,existing_audio_score
1761,L6F2P7K8P1,34_38_months,av_helped_fn,1,0.0,0.2269486933946609,0.2269486933946609,1,0.88,,0,,0.8,1.0,1.0,,0.0
603,J4J6X7C4D9,34_38_months,av_helped_fn,1,0.0,0.2246135622262954,0.2246135622262954,1,0.88,,1,,0.8,1.0,1.0,,0.0
1389,M5O1K4W9O1,34_38_months,av_helped_fn,1,0.0,0.2158620804548263,0.2158620804548263,1,1.0,,1,,1.0,1.0,1.0,,0.0
1387,M5O1K4W9O1,34_38_months,av_helped_fn,1,0.0,0.2108344584703445,0.2108344584703445,1,1.0,,0,,1.0,1.0,1.0,,0.0
790,N5I9D3R2M1,34_38_months,av_helped_fn,1,0.0,0.2108344584703445,0.2108344584703445,1,1.0,,0,,1.0,1.0,1.0,,0.0
2980,A4E8K1L5Y2,34_38_months,av_helped_fn,1,0.0,0.2069494277238845,0.2069494277238845,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
1832,J3J0V4T8C3,34_38_months,av_helped_fn,1,0.0,0.2069494277238845,0.2069494277238845,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
690,R4O0P4P3J4,34_38_months,av_helped_fn,1,0.0,0.1936763823032379,0.1936763823032379,1,0.94,,1,,0.9,1.0,0.0,,0.0
2797,L4M8P2T7S0,34_38_months,av_helped_fn,1,0.0,0.1881580948829651,0.1881580948829651,1,0.86,,0,,0.8,0.95,1.0,,0.0
1983,H7C3T0K5E5,34_38_months,av_helped_fn,1,0.0,0.1813865005970001,0.1813865005970001,1,0.94,,0,,0.9,1.0,1.0,,0.0
3010,S4C2W1M7Q0,34_38_months,av_helped_fn,1,0.0,0.1813865005970001,0.1813865005970001,1,0.94,,0,,0.9,1.0,1.0,,0.0
975,H3B5L5F8T1,34_38_months,av_helped_fn,1,0.0,0.1804516613483429,0.1804516613483429,1,0.94,,1,,0.9,1.0,1.0,,0.0
1042,U6O5F2B7T5,34_38_months,av_helped_fn,1,0.0317115550319144,0.2035845891193402,0.1718730340874258,1,0.94,,0,,0.9,1.0,1.0,,0.0317115550319144
1997,H7C3T0K5E5,14_18_months,av_helped_fn,1,0.0,0.1683733314275741,0.1683733314275741,1,0.76,,1,,0.6,1.0,1.0,,0.0
3262,A3G3T7I1A5,14_18_months,av_helped_fn,1,0.0,0.16825532913208,0.16825532913208,1,0.8200000000000001,,1,,0.7,1.0,1.0,,0.0
3193,D4Y7P4G2V4,14_18_months,av_helped_fn,1,0.0,0.1675527244806289,0.1675527244806289,1,0.8200000000000001,,1,,0.7,1.0,1.0,,0.0
450,W3P0N4W0X9,14_18_months,av_helped_fn,1,0.0,0.16634102165699,0.16634102165699,1,0.76,,1,,0.6,1.0,1.0,,0.0
121,C0O6X3N5Y7,14_18_months,av_helped_fn,1,0.0,0.1628838777542114,0.1628838777542114,1,0.88,,0,,0.8,1.0,1.0,,0.0
2530,G3A6S5R9F7,14_18_months,av_helped_fn,1,0.0,0.1628838777542114,0.1628838777542114,1,0.88,,0,,0.8,1.0,1.0,,0.0
682,R4O0P4P3J4,14_18_months,av_helped_fn,1,0.0,0.1628838777542114,0.1628838777542114,1,0.88,,0,,0.8,1.0,1.0,,0.0
