diarizer,f1,precision,recall,auroc,auprc,threshold,_source
USC-SAIL,0.8743169398907104,0.8060453400503779,0.9552238805970149,0.62466910729372,0.7928168834002273,0.21000000000000002,whisper-modeling/usc_sail_enrollment_runs/enroll_test_metrics.json
Pyannote,0.8575498575498576,0.8201634877384196,0.8985074626865671,0.6613348352576739,0.8256848558247936,0.16,pyannote/pyannote_enrollment_runs/test_metrics.json
BabAR,0.8740279937791602,0.9123376623376623,0.8388059701492537,0.8203604618417346,0.9177605297462264,0.12000000000000001,babar_ecapa_enrollment_runs/enroll_test_metrics.json
VTC (KCHI+OCH),0.8879184861717613,0.8664772727272727,0.9104477611940298,0.7869050971557308,0.8945790768314902,0.13,vtc_ecapa_enrollment_runs/enroll_test_metrics.json
VTC (KCHI only),0.8740279937791602,0.9123376623376623,0.8388059701492537,0.8203604618417346,0.9177605297462264,0.12000000000000001,vtc_kchi_ecapa_enrollment_runs/enroll_test_metrics.json
VBx,0.8579310344827586,0.7974358974358975,0.9283582089552239,0.6862573922838636,0.8505818394286677,0.175,vbx_ecapa_enrollment_runs/enroll_test_metrics.json
TalkNet-ASD,0.3357664233576642,0.9078947368421053,0.20597014925373133,0.5686426358772176,0.7905159972081945,0.1,video_asd_ecapa_enrollment_runs/talknet_asd/enroll_test_metrics.json
EEND-EDA,0.8443843031123139,0.7722772277227723,0.9313432835820895,0.5278513094902845,0.7808221971908499,0.1,eend_eda_ecapa_enrollment_runs/enroll_test_metrics.json
Sortformer,0.844319775596073,0.7962962962962963,0.8985074626865671,0.6635032385243593,0.8405585022744548,0.1,sortformer_ecapa_enrollment_runs/enroll_test_metrics.json
WavLM-MIL,0.8822733423545331,0.806930693069307,0.9731343283582089,0.7710504083356802,0.89305281286712,0.5,mil/mil_results/wavlm_mil/test_metrics_tuned.json
Whisper-MIL,0.8859649122807017,0.8681948424068768,0.9044776119402985,0.853083638411715,0.9456815867691774,0.5,mil/mil_results/whisper_mil/test_metrics_tuned.json
Audio LLM (Qwen2-Audio-7B zero-shot),0.8708791208791209,0.806615776081425,0.9462686567164179,0.7251196845958885,0.8528493078277581,0.85,baselines/audio_llm_baseline_runs/qwen2_audio_7b/test_metrics_tuned.json
Parakeet TDT 0.6B (gap_ratio NEGATIVE),0.8634020618556701,0.7596371882086168,1.0,0.45666009574767674,0.7314635265674758,0.26242424242424245,baselines/parakeet_baseline_runs/parakeet_tdt_0.6b_v2/test_metrics_tuned.json
