filename,audio_duration_sec,vtc_sec,babar_sec,n_utterances
alex_010427__fb0b53da6d1b230016518ab8d2f70f08.wav,3367.03,1.64,3.94,196.0
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,3683.12,1.8,6.79,375.0
alex_010526__7d4af5992b2dbc50624ed19ed5f825e0.wav,3246.25,1.59,7.55,414.0
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,3623.56,1.77,5.69,309.0
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,3606.79,1.76,6.82,356.0
alex_010707__e7dc6765ec0c8ff7786697ffe0a46895.wav,3382.98,1.65,7.18,386.0
alex_010726__da867858568bd46aa12cc2e92f835896.wav,3750.3,1.83,8.38,455.0
alex_010811__e9dc01140b406a634cb56895347a0503.wav,3700.31,1.81,8.03,449.0
alex_010825__8aa2036485cf9ee6d111319fb84e00bd.wav,3424.2,1.67,9.01,476.0
alex_010908__aca162cd51a27a8e83dbad6113fda159.wav,3749.7,1.83,10.3,546.0
alex_010922__132b723ed5786ee753c112918ae03109.wav,3423.85,1.67,10.47,580.0
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,3473.23,1.7,9.68,519.0
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,3408.13,1.66,12.37,659.0
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,3368.22,1.65,10.64,569.0
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,3287.04,1.61,6.93,362.0
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,3260.69,1.59,8.31,438.0
alex_020012__97e2ed13025e2caffe25f83517f0993b.wav,3469.84,1.69,6.44,342.0
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,3247.58,1.59,8.6,450.0
alex_020117__82f1e28448bbf5e94092dd2e43f36365.wav,3286.98,1.61,6.19,325.0
alex_020200__3101d7b32038fc79c57ba75af668d944.wav,3235.96,1.58,5.41,283.0
alex_020217__2340160ff0b3b8d0e07d91667827c1eb.wav,2994.04,1.46,8.87,476.0
alex_020300__a08f127d1fe8877a81c56e41fcae494a.wav,3482.54,1.7,10.94,591.0
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,3331.05,1.63,10.8,570.0
alex_020326__c821979b016eb7394ffda6190219a9ff.wav,3101.63,1.52,13.85,747.0
alex_020411__a40712c39ba238c2e6a9af74c553ed4e.wav,3484.09,1.7,10.84,572.0
alex_020425__bd5c5a1650c55caeb6ad2be9cb244bca.wav,3664.82,1.79,12.78,683.0
alex_020509__590306b2308a860c2fd92e2c4e8a87b2.wav,3359.12,1.64,13.05,701.0
