child_id,n_segments,status
A1H3H9Y3T1,36,ok
A2M5H0V6E3,7,ok
A2P7X9N8L7,12,ok
A3G3T7I1A5,3,ok
A4E8K1L5Y2,131,ok
A5X1S7S1E7,5,ok
A6Z2B3J2A9,58,ok
B1L0B3F6F1,10,ok
B1S3L8Q7Y6,67,ok
B2R3Q8L2Y3,5,ok
B4Q3G8H2N3,81,ok
B8I6G9P2G8,2,ok
B9P5V1I5O5,6,ok
C0O6X3N5Y7,11,ok
C1G1X2G4C6,3,ok
C1I8N8L4Q4,14,ok
C4C7T6W2I0,11,ok
C5L2D6N1W6,5,ok
C5U1P3X9F0,4,ok
D4Y7P4G2V4,143,ok
D8G5K7I0D6,3,ok
D8O8B2C4X2,34,ok
D9N0U7M9X3,21,ok
E2P5Q8S5A7,20,ok
E3O3H8O7H4,18,ok
E7G3N4A1K5,11,ok
E7T7O3G7J5,16,ok
E7Z4G3O5K2,42,ok
F3N4H0K1Z1,53,ok
F6J0V8B6S4,32,ok
F8N7H3T0O1,15,ok
F8V2U5P1A0,49,ok
G3A6S5R9F7,15,ok
G4J8F6F4X0,49,ok
H3B5L5F8T1,17,ok
H7C3T0K5E5,8,ok
I8T4E2J3M6,2,ok
J3J0V4T8C3,21,ok
J4J6X7C4D9,20,ok
K6O1J5K7Z0,57,ok
L0B0Q5O3Q3,165,ok
L0C6T6H2C6,34,ok
L4M1H7J7G3,65,ok
L4M8P2T7S0,76,ok
L6F2P7K8P1,17,ok
L7Z6Q2U6Y6,14,ok
M4R4B8C7G8,9,ok
M5H7X4O2M2,12,ok
M5O1K4W9O1,13,ok
M5Y0K3C9L0,6,ok
N2H7T0A7U5,17,ok
N2Z6J3E5Q5,21,ok
N3C7S2N8O0,12,ok
N3L7A1I2B9,125,ok
N5I9D3R2M1,30,ok
O2U2C6W2S9,6,ok
O5Q7I1O6N2,29,ok
O6F1J9U1J2,30,ok
O7X6W5O8E0,58,ok
Q9W9P7Z3J7,16,ok
R4O0P4P3J4,38,ok
R6R8Q6A7K0,42,ok
S0M6Z7D5X7,6,ok
S2C4T1Y7V7,17,ok
S4C2W1M7Q0,49,ok
S4O9O2E5Z0,34,ok
S7F0B6H3A3,52,ok
S7Y0I2P0S8,31,ok
S9B3J7I4R1,45,ok
S9D2T7Y9B1,3,ok
T1G8F8W8Y8,49,ok
T2H0J0N2Z5,4,ok
T8P2Z1M9O9,8,ok
U6O5F2B7T5,31,ok
V7D7K3H8B4,34,ok
W2E0Z9B7Z8,22,ok
W3I4D2X4Z4,15,ok
W3O7N1N8U2,5,ok
W3P0N4W0X9,17,ok
W4O4B5W7K0,23,ok
W9K7Y8Y0V6,57,ok
X1U1P0D1X3,12,ok
X2N4R2N5V8,8,ok
Y4W4H9A8X5,3,ok
Y6Z4H0C5U2,71,ok
Z2E7T3I3H2,3,ok
Z3H6O7C3O9,10,ok
